City_ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
328,usogorsk,63.4106,48.6872,-1.85,87,69,1.04,RU,1714883119
329,tra mhor,52.1624,-7.1524,7.57,81,60,1.79,IE,1714883119
330,eastham,41.8301,-69.9739,8.3,90,100,3.6,US,1714883120
331,sarangani,5.4033,125.4636,28.23,77,74,6.28,PH,1714883120
332,colonia,50.9333,6.95,11.09,91,0,3.09,DE,1714882941
333,qamdo,31.1667,97.2333,9.2,23,100,2.79,CN,1714883120
334,duck lake,52.8168,-106.2344,5.67,74,46,2.9,CA,1714883120
335,torghay,49.6339,63.4981,9.04,40,97,4.11,KZ,1714883120
336,nagqu,31.5,92.0,4.33,49,100,1.45,CN,1714883121
337,candon,17.1947,120.4517,33.9,55,2,4.94,PH,1714883121
338,ust-nera,64.5667,143.2,2.54,78,91,1.01,RU,1714883121
339,mana,5.6592,-53.7767,25.84,91,100,4.35,GF,1714883121
340,zelenoborskiy,66.845,32.3622,-1.83,75,14,2.94,RU,1714883121
341,kirgiz-miyaki,53.6324,54.7979,3.57,49,2,2.78,RU,1714882877
342,karagandy,49.8019,73.1021,9.97,84,100,3.42,KZ,1714883121
343,fort bragg,35.139,-79.006,20.46,95,100,1.54,US,1714883122
344,bridgewater,44.3835,-64.5155,5.9,90,91,2.06,CA,1714883047
345,kabare,-2.4683,28.8242,15.22,96,77,0.84,CD,1714883122
346,amos,48.5669,-78.1162,14.66,89,60,5.78,CA,1714883122
347,bikenibeu village,1.3673,173.1241,31.98,70,40,4.12,KI,1714883122
348,chandler,33.3062,-111.8412,29.49,20,0,4.63,US,1714883122
349,castro del rio,37.6912,-4.4806,9.12,70,55,1.36,ES,1714883122
350,yangchun,22.1667,111.7833,30.87,67,37,2.87,CN,1714883123
351,sumbe,-11.2061,13.8437,24.45,69,19,2.36,AO,1714883123
352,crane,31.3974,-102.3501,19.0,62,62,8.03,US,1714883123
353,berdigestyakh,62.0989,126.6992,1.7,98,80,1.56,RU,1714883123
354,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.17,PT,1714883123
355,champerico,14.3,-91.9167,29.69,77,13,2.92,GT,1714883123
356,ambon,-3.6954,128.1814,31.08,79,40,1.54,ID,1714883124
357,rikaze,29.25,88.8833,11.79,28,100,0.73,CN,1714883124
358,kirkwood,38.5834,-90.4068,18.54,94,74,2.24,US,1714883091
359,guiuan,11.0333,125.7247,28.78,69,100,4.58,PH,1714883125
